LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag_Codes
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2017-Q3"",-0.2733333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2017-Q4"",-0.3066667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2018-Q1"",-0.3033333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2018-Q2"",-0.29,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2018-Q3"",-0.3,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2018-Q4"",-0.3,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2019-Q1"",-0.3133333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2019-Q2"",-0.3566667,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2019-Q3"",-0.4233333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2019-Q4"",-0.4133333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2020-Q1"",-0.3933333,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2020-Q2"",-0.14,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2020-Q3"",-0.21,"
"DNK,""STINT"",""TOT"",""PC_PA"",""Q"",""2020-Q4"",-0.2233333,"
